NodeId	BscFunctionId	BscMId	GeranCellMId	GeranCellId	GeranCellRelationId	awOffset	bqOffset	bqOffsetAfr	cand	cs	hiHyst	kHyst	kOffset	lHyst	lOffset	loHyst	offset	tRHyst	tROffset
TO3BSC1	1	1	1	T35MD2	T35M1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35MD2	T35M3	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35MD3	T35M1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35MD1	T35M1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MC1	T35M2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MC1	T35M1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MC2	T54M1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MC2	T54M3	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MC2	T54MP3	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T75MP1	T54MP2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T65KA2	T54MP2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T65KA3	T54M2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35MA2	T35M3	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12M2	T54MP1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12M2	T54MP2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12M2	T54MP3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T06MN2	T35M3	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12M1	T54MP3	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T06MN1	T35M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35MM1	T35M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35MM2	T35M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35MM2	T35M2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	TMQ3	T35M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T84M2	T35M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MJ1	T54M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MJ1	T54MP3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T25MK2	T35M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T25MK3	T35M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MJ2	T54M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MJ2	T54MP3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MJ2	T54M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MJ2	T54M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MJ2	T54MP1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MJ2	T54MP2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35MM3	T35M1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35MM3	T35M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
