NodeId	BscFunctionId	BscMId	GeranCellMId	GeranCellId	MobilityId	LocatingPenaltyId	pSsBq	pSsHf	pSsTa	pTimBq	pTimHf	pTimTa
TO3BSC1	1	1	1	T35M2	1	1	7	63	63	15	5	30
TO3BSC1	1	1	1	T54M1	1	1	7	63	63	15	5	30
TO3BSC1	1	1	1	T35M3	1	1	7	63	63	15	5	30
TO3BSC1	1	1	1	T35M1	1	1	7	63	63	15	5	30
TO3BSC1	1	1	1	T54M2	1	1	7	63	63	15	5	30
TO3BSC1	1	1	1	T54M3	1	1	7	63	63	15	5	30
TO3BSC1	1	1	1	T54MP3	1	1	7	63	63	15	5	30
TO3BSC1	1	1	1	T54MP2	1	1	7	63	63	15	5	30
TO3BSC1	1	1	1	T54MP1	1	1	7	63	63	15	5	30
TO3BSC1	1	1	1	TO3TS0	1	1	7	63	63	15	5	30
