NodeId	BscFunctionId	BscMId	GeranCellMId	GeranCellId	MobilityId	aw	bcchDtcb	hystSep	maxTa	mbcr	missNM	ncrpt	scho
TO3BSC1	1	1	1	T35M2	1	ON	-63	-90	63	TWO	3	1920MS	OFF
TO3BSC1	1	1	1	T54M1	1	ON	-63	-90	63	TWO	3	1920MS	OFF
TO3BSC1	1	1	1	T35M3	1	ON	-63	-90	63	TWO	3	1920MS	OFF
TO3BSC1	1	1	1	T35M1	1	ON	-63	-90	63	TWO	3	1920MS	OFF
TO3BSC1	1	1	1	T54M2	1	ON	-63	-90	63	TWO	3	1920MS	OFF
TO3BSC1	1	1	1	T54M3	1	ON	-63	-90	63	TWO	3	1920MS	OFF
TO3BSC1	1	1	1	T54MP3	1	ON	-63	-90	63	TWO	3	1920MS	OFF
TO3BSC1	1	1	1	T54MP2	1	ON	-63	-90	63	TWO	3	1920MS	OFF
TO3BSC1	1	1	1	T54MP1	1	ON	-63	-90	63	TWO	3	1920MS	OFF
TO3BSC1	1	1	1	TO3TS0	1	ON	-63	-90	63	TWO	3	1920MS	OFF
